report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	off_road_description	related_non_motorist	collision_type	weather	light	traffic_control	driver_substance_abuse	non_motorist_substance_abuse	person_id	pedestrian_type	pedestrian_movement	pedestrian_actions	pedestrian_location	pedestrian_obeyed_traffic_signal	pedestrian_visibility	at_fault	injury_severity	safety_equipment	route_type	surface_condition
MCP29730066	220038512	Montgomery County Police	Injury Crash	2022-09-05T18:00:00.000	UNKNOWN	BICYCLIST	OTHER	RAINING	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	510E683D-2886-42E6-AAFB-CC3D2E151C88	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	WET
MCP2723006L	220038358	Montgomery County Police	Injury Crash	2022-09-04T14:55:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	E60563D6-CDD1-496E-BA02-156E3C05C4D7	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	OTHER	DRY
MCP32950021	220038285	Montgomery County Police	Injury Crash	2022-09-03T20:48:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK -- UNKNOWN LIGHTING	STOP SIGN	UNKNOWN	NONE DETECTED	33D2AFFE-14AB-4CEE-A84F-9B61376B2723	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	US (State)	DRY
MCP2678003L	220038212	Montgomery County Police	Property Damage Crash	2022-09-03T12:51:00.000	GRASSY AREA OF 3944 BEL PRE RD	OTHER CONVEYANCE	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN, NONE DETECTED	NONE DETECTED	09AC777D-42C6-4627-8713-FDB1F0283E55	OTHER CONVEYANCE	Standing	NO IMPROPER ACTIONS	INSIDE BUILDING	OTHER	OTHER	No	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP2440000X	220038190	Montgomery County Police	Injury Crash	2022-09-03T09:20:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	11D5A6FC-DDAB-4ED0-95C2-B9E932A70C73	BICYCLIST	OTHER	NO IMPROPER ACTIONS	AT INTERSECTION BUT NO CROSSWALK	OTHER	DARK CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	Other Public Roadway	DRY
MCP3196003G	220038150	Montgomery County Police	Injury Crash	2022-09-02T22:46:00.000	UNKNOWN	MACHINE OPERATOR/RIDER	HEAD ON LEFT TURN	CLEAR	OTHER	OTHER	NONE DETECTED	NONE DETECTED	C84E3928-6D58-4685-9910-871F9374AE85	MACHINE OPERATOR/RIDER	Cross/Enter at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP2934004Z	220037915	Montgomery County Police	Property Damage Crash	2022-09-01T16:06:00.000	PARKING LOT OF 10400 OLD GEORGETOWN RD.	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	620474ED-067A-47DC-B2A3-6003D655DAE2	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	LIGHT CLOTHING	No	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP30260083	220037721	Montgomery County Police	Injury Crash	2022-08-31T15:01:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	729FB251-2109-4E8C-A1EF-F1DC4ACFD707	PEDESTRIAN	Cross/Enter not at Intersection	NO IMPROPER ACTIONS	OTHER	OTHER	REFLECTIVE MATERIAL	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP24460061	220037705	Montgomery County Police	Injury Crash	2022-08-31T14:06:00.000	IN THE PARKING LOT OF 6820 OLNEY LAYTONSVILLE RD. LAYTONSVILLE, MD. 20882	BICYCLIST	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	35179F08-9F14-4F49-B90A-418D652B5BD3	BICYCLIST	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	OTHER	NO PED. SIGNAL	MIXED CLOTHING	Yes	POSSIBLE INJURY	MC/BIKE HELMET	OTHER	UNKNOWN
MCP9318002B	220036779	Montgomery County Police	Injury Crash	2022-08-30T16:40:00.000	PARKING LOT OF 10131 COLESVILLE RD	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	D431999F-EFBF-4F9A-88B4-CAC5B420F5D3	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3256001H	220037565	Montgomery County Police	Injury Crash	2022-08-30T16:04:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	RAINING	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	FD415982-639E-4431-9CD1-02287F73CB3E	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	AT INTERSECTION BUT NO CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	WET
MCP23610022	220037562	Montgomery County Police	Injury Crash	2022-08-30T15:53:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	D92A5E59-E94F-4704-819E-510AEA5592AC	PEDESTRIAN	Approach/Leaving Schoolbus	NO IMPROPER ACTIONS	IN SCHOOL BUS ZONE	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED SERIOUS INJURY	NONE	County	WET
MCP31610044	220037550	Montgomery County Police	Injury Crash	2022-08-30T15:12:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	C8540B04-90A7-4838-8D70-93E3DE6E5223	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3085003L	220037566	Montgomery County Police	Property Damage Crash	2022-08-30T14:30:00.000	UNKNOWN	BICYCLIST	SAME DIR REAR END	OTHER	DAYLIGHT	OTHER	UNKNOWN	NONE DETECTED	9705B241-A45F-4105-B159-98F33587D9C4	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	NO APPARENT INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP30260080	220037494	Montgomery County Police	Property Damage Crash	2022-08-30T09:21:00.000	UNKNOWN	OTHER	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	B735FD92-39E3-4C60-BD06-0077AF806DF8	OTHER	OTHER	OTHER	INSIDE BUILDING	OTHER	OTHER	No	NO APPARENT INJURY	NONE	Maryland (State)	DRY
MCP3272001L	220037313	Montgomery County Police	Injury Crash	2022-08-29T10:30:00.000	UNKNOWN	PEDESTRIAN	HEAD ON	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	D0751F5A-7C8C-4B5D-A76D-991ED8084E19	PEDESTRIAN	Other Working	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
EJ7888002S	220037298	Gaithersburg Police Depar	Injury Crash	2022-08-29T07:35:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	A7A000A5-D8A6-463D-97FF-8821C045061B	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3331000B	220037205	Montgomery County Police	Injury Crash	2022-08-28T13:21:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	5426268A-D217-4066-999F-28B83ACBB732	PEDESTRIAN	Walking/Riding against Traffic	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3331000B	220037205	Montgomery County Police	Injury Crash	2022-08-28T13:21:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	A229D874-AE48-4651-A79C-F548FC2BB172	PEDESTRIAN	Walking/Riding against Traffic	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP209400K9	220037173	Montgomery County Police	Injury Crash	2022-08-28T09:17:00.000	UNKNOWN	BICYCLIST	HEAD ON LEFT TURN	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	C52C2D0D-7F2A-4C69-86E3-D4F763FE187F	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED SERIOUS INJURY	MC/BIKE HELMET	County	DRY
MCP15950022	220027156	Montgomery County Police	Injury Crash	2022-08-28T03:07:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	ALCOHOL CONTRIBUTED	25EB92E1-A49D-47BA-81F7-8B4496424914	PEDESTRIAN	Cross/Enter not at Intersection	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP2739004B	220037088	Montgomery County Police	Injury Crash	2022-08-27T16:00:00.000	PARKING LOT OF 13615 GEORGIA AVE SILVER SPRING MD 20906	OTHER CONVEYANCE	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	83B56F7C-0F95-4DB3-9DDC-13B8A50DB723	OTHER CONVEYANCE	Cross/Enter at Intersection	NO IMPROPER ACTIONS	DRIVEWAY ACCESS MARKED CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
EJ7844001B	220037076	Gaithersburg Police Depar	Property Damage Crash	2022-08-27T15:40:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	E23E0C2B-D9C9-4365-BB38-D72923A44820	BICYCLIST	Walking/Cycling on Sidewalk	FAILURE TO YIELD RIGHT OF WAY	SIDEWALK	NO PED. SIGNAL	LIGHT CLOTHING	Yes	NO APPARENT INJURY	NONE	County	DRY
EJ7876004W	220036918	Gaithersburg Police Depar	Injury Crash	2022-08-27T15:30:00.000	UNKNOWN	OTHER PEDALCYCLIST	OTHER	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	B9C6594B-71AD-4CC5-905B-0A95F7367D1D	OTHER PEDALCYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	Municipality	DRY
MCP3134003N	220036963	Montgomery County Police	Injury Crash	2022-08-26T19:48:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DUSK	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	CAD59D50-BD84-404C-BD7D-2E5870A2F312	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	OTHER	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP1227001P	220036787	Montgomery County Police	Fatal Crash	2022-08-25T16:05:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION RIGHT TURN	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	3BD5516B-B100-43A7-9AD9-FF5F8AC80D01	BICYCLIST	Walking/Riding w/Traffic	OTHER	IN BIKEWAY	OTHER	MIXED CLOTHING	UNKNOWN	FATAL INJURY	MC/BIKE HELMET	Maryland (State)	DRY
DD5644002X	220036641	Rockville Police Departme	Injury Crash	2022-08-24T18:19:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DUSK	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	3B0A41D7-0F9B-4669-905D-DA4A16915DD3	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP27980053	220036655	Montgomery County Police	Injury Crash	2022-08-24T17:35:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	8A3D7BF6-C4ED-4550-A080-AB94DE23382A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3239002D	220036543	Montgomery County Police	Injury Crash	2022-08-24T10:59:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	39D95549-5256-4226-B319-5E195EF6C1E2	PEDESTRIAN	Cross/Enter at Intersection	DART DASH	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	LIGHT CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP285900CR	220036510	Montgomery County Police	Injury Crash	2022-08-24T06:00:00.000	PARKING LOT OF 898 MUDDY BRANCH RD, GAITHERSBURG, MD 20878	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	E72DDCE8-F1AF-4F3D-8565-3D365A2B7F3A	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	MIXED CLOTHING	Yes	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP29730063	220036415	Montgomery County Police	Injury Crash	2022-08-23T15:15:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	C024E743-4C5E-48C3-8853-77C3240E037A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP3073006F	220036251	Montgomery County Police	Injury Crash	2022-08-23T14:58:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	6F2C763E-E0BF-474A-9049-1C7E975C9D71	PEDESTRIAN	Cross/Enter not at Intersection	DART DASH	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	County	UNKNOWN
MCP15190041	220036336	Montgomery County Police	Injury Crash	2022-08-23T08:47:00.000	UNKNOWN	BICYCLIST	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	513257FD-2883-4CC5-B82F-A7393676CAD0	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	MC/BIKE HELMET	Maryland (State)	DRY
MCP3119003N	220036233	Montgomery County Police	Injury Crash	2022-08-22T13:40:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	887E4E56-3389-4CD3-9383-27E0EFED5DBB	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Other Public Roadway	DRY
MCP29870077	220035994	Montgomery County Police	Injury Crash	2022-08-20T16:30:00.000	PARKING LOT OF 14000 CASTLE BLVD	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	NONE DETECTED	09B86FA9-EC3C-4C61-9DFB-2B38268F7B1D	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
EJ78510083	220035553	Gaithersburg Police Depar	Injury Crash	2022-08-18T20:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	4C5790CC-8ABE-4A90-A086-46D2FADDB111	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	OTHER	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP32610010	220035561	Montgomery County Police	Injury Crash	2022-08-17T21:45:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	OTHER	UNKNOWN	UNKNOWN	2DED0BD1-E00E-46FF-B6CE-F5776E7C6E64	PEDESTRIAN	Cross/Enter not at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	County	DRY
MCP29730060	220035517	Montgomery County Police	Property Damage Crash	2022-08-17T16:00:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	EDF2FAF1-0DA9-469F-B7B5-92D75ADA78E8	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	NO APPARENT INJURY	NONE	County	DRY
MCP2973005Z	220035402	Montgomery County Police	Injury Crash	2022-08-16T19:00:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	OTHER	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	3D8D0CD7-CD0A-4161-A117-9696B90C668A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP26220034	220035336	Montgomery County Police	Injury Crash	2022-08-16T14:06:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	63DA8297-AADB-43BC-8AB5-8A41B41147D1	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
DM84900020	220035339	Takoma Park Police Depart	Property Damage Crash	2022-08-16T13:59:00.000	UNKNOWN	OTHER	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	551E9AEC-1701-4B5D-A4E6-E34B413A1C50	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	No	NO APPARENT INJURY	NONE	Maryland (State)	DRY
MCP2771001B	220035136	Montgomery County Police	Injury Crash	2022-08-16T11:40:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	F0ADAB12-353F-48FB-844F-B8212C4A1651	PEDESTRIAN	Walking/Cycling on Sidewalk	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	MIXED CLOTHING	UNKNOWN	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP30190054	220035166	Montgomery County Police	Injury Crash	2022-08-15T15:30:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	8C98EC9A-7D2D-4BD2-B935-42414F42DFD0	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP3164005Z	220034861	Montgomery County Police	Injury Crash	2022-08-13T07:00:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION SIDESWIPE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	59C021BD-68CA-4B4C-B81B-51BDBDC784C9	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	IN BIKEWAY	OTHER	OTHER	No	POSSIBLE INJURY	NONE	US (State)	UNKNOWN
EJ7895002L	220034706	Gaithersburg Police Depar	Property Damage Crash	2022-08-12T13:15:00.000	FESTIVAL SHOPPING CENTER DRIVEWAY TO 221 MUDDY BRANCH ROAD	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	9D5C15BB-9903-48A6-B1C9-58F5F3AA1937	BICYCLIST	Cross/Enter at Intersection	INATTENTIVE	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	Yes	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP31650042	220034672	Montgomery County Police	Injury Crash	2022-08-12T10:30:00.000	UNKNOWN	PEDESTRIAN	SAME DIR REND RIGHT TURN	OTHER	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	DB339FC9-1603-41B3-9596-B7E00B218369	PEDESTRIAN	OTHER	OTHER	SHOULDER	OTHER	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP30900068	220034656	Montgomery County Police	Injury Crash	2022-08-12T08:41:00.000	PARKING LOT OF 805 RUSSELL AVE GAITHERSBURG,MD	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	9952165F-A321-4104-AAD6-6682B2B97A97	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	OTHER	No	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP30900068	220034656	Montgomery County Police	Injury Crash	2022-08-12T08:41:00.000	PARKING LOT OF 805 RUSSELL AVE GAITHERSBURG,MD	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	94DBD28E-D76C-4620-9DD2-CCF6E74F5FDB	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	NO PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3097002S	220034594	Montgomery County Police	Injury Crash	2022-08-11T19:42:00.000	UNKNOWN	PEDESTRIAN	HEAD ON LEFT TURN	OTHER	DAYLIGHT	STOP SIGN	NONE DETECTED	NONE DETECTED	AD1F3E01-75A2-4AAF-B9F2-4B6006DF4579	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	UNKNOWN
MCP3044005J	220034537	Montgomery County Police	Injury Crash	2022-08-11T15:19:00.000	UNKNOWN	OTHER	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	FD5C9277-BB80-4964-AF35-CB7E5619BAC2	OTHER	Cross/Enter at Intersection	WRONG WAY RIDING OR WALKING	SHOULDER	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	County	DRY
DD5649002C	220034478	Rockville Police Departme	Injury Crash	2022-08-11T08:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	BE09C1B3-EEDE-474B-8842-E8E5A26CEDF1	PEDESTRIAN	Walking/Riding against Traffic	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Municipality	WET
MCP3009004Y	220034335	Montgomery County Police	Injury Crash	2022-08-10T10:01:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	7C543FBE-FD30-4867-8D59-7C037C865897	PEDESTRIAN	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP2864004F	220034204	Montgomery County Police	Injury Crash	2022-08-09T13:45:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	ABCFF756-CED0-4232-A464-5D0DEA2B0D85	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP2016006D	220034152	Montgomery County Police	Injury Crash	2022-08-09T10:33:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	176F2EAC-AD6D-4A69-8AD0-4E5166E67CAA	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
DD56430029	220034122	Rockville Police Departme	Injury Crash	2022-08-09T03:52:00.000	UNKNOWN	BICYCLIST	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	NONE DETECTED	45554FE6-395F-439E-93EA-B6D12467D215	BICYCLIST	Walking/Riding w/Traffic	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	Municipality	DRY
